archivo,inicio_s,fin_s,clase,theta_AF3,alpha_AF3,beta_AF3,alpha_beta_AF3,theta_T7,alpha_T7,beta_T7,alpha_beta_T7,theta_Pz,alpha_Pz,beta_Pz,alpha_beta_Pz,theta_T8,alpha_T8,beta_T8,alpha_beta_T8,theta_AF4,alpha_AF4,beta_AF4,alpha_beta_AF4,theta_prom,alpha_prom,beta_prom,alpha_beta_prom
3 (1).edf,50,60,1,1.431262311844855e-10,4.048426947086496e-11,9.375532269676042e-12,4.318076916209455,1.5476737053954028e-10,3.635405250740447e-11,1.3480826124188797e-11,2.6967228990643224,9.412976666379052e-11,3.7409323715070957e-11,8.032421612684127e-12,4.65729085435422,1.0457280931837584e-10,4.020766273353971e-11,9.996786610154541e-12,4.022058717618075,1.446619432372028e-10,3.8902531812901165e-11,9.479304880461207e-12,4.103943517323434,1.28251624188679e-10,3.8671568047956256e-11,1.0072974299432944e-11,3.8391409427236667
3 (1).edf,55,65,1,7.299395675626657e-11,1.994545870889537e-11,5.062640080089947e-12,3.939734682569218,3.0803721369869845e-11,1.3674932114956258e-11,7.625845161274138e-12,1.7932349563561591,2.7076621392293245e-11,1.6261262831758933e-11,4.006163845454965e-12,4.059060851993737,3.404550625760188e-11,1.6859968681553548e-11,5.63653920956704e-12,2.9911915902113653,7.449911645931117e-11,1.959156715423247e-11,5.5377378284992645e-12,3.5378285792814093,4.788378444706855e-11,1.7266637898279312e-11,5.573785224977071e-12,3.097829787359692
3 (1).edf,60,70,1,7.691531490632259e-11,1.9334675082211055e-11,4.4335719061853965e-12,4.360970227016444,1.546808152720897e-11,8.142606325458368e-12,6.7573404002512826e-12,1.2050016490445816,1.0185161843258705e-11,5.179954552688639e-12,3.2279615844198977e-12,1.6047138162022263,8.9027937592926e-12,5.572025405070402e-12,3.9979751799807606e-12,1.3937118551839573,8.525061471753252e-11,1.882498768669952e-11,4.224942838592779e-12,4.455678669718912,3.934439335072308e-11,1.1410849810425596e-11,4.5283583818860235e-12,2.5198645619724718
3 (1).edf,65,75,1,7.169548032112066e-11,1.3302956951303368e-11,4.822423578107123e-12,2.7585625227315655,2.0519572893252145e-11,8.922209923299882e-12,7.316967986824934e-12,1.2193862183578468,1.3542311629936354e-11,6.484496465615055e-12,4.3684370841384865e-12,1.4843973578467786,2.0231646479839852e-11,6.196869903499459e-12,5.49254699308457e-12,1.12823247781069,6.737927734918063e-11,1.29793595314165e-11,4.901652713258061e-12,2.6479557591482847,3.8673657734665927e-11,9.577178555026853e-12,5.380405671082635e-12,1.7800104937254204
3 (1).edf,70,80,1,4.88229215482624e-11,1.0446814541536443e-11,4.86908458128214e-12,2.145539755398038,2.2339281286623843e-11,1.2769538088354061e-11,6.173841952907872e-12,2.0683292811439116,2.042994815219882e-11,7.958259521929784e-12,3.933223880553876e-12,2.0233426226449898,2.1002225713869244e-11,6.627309259913008e-12,4.963641016522586e-12,1.3351709436384565,5.434831701314011e-11,1.0943666399845828e-11,5.109486963475782e-12,2.141832727644594,3.338853874281888e-11,9.749117562315824e-12,5.009855678948451e-12,1.9459877064486866
3 (1).edf,75,85,1,5.1228071864916455e-11,1.171823584826423e-11,4.640531419121764e-12,2.525192653578013,2.6387150181728706e-11,9.82741428740306e-12,7.001172649393179e-12,1.4036811802169804,1.983564084952088e-11,7.551435663345385e-12,3.6732498389694446e-12,2.055791463796536,2.1284034094974088e-11,8.04146019028877e-12,5.0216910527198744e-12,1.6013450660078565,5.230524710260977e-11,1.2758343089354589e-11,5.026383917008446e-12,2.5382746921066817,3.420802881874998e-11,9.979377815731206e-12,5.072605775442542e-12,1.9673079788780925
3 (1).edf,80,90,1,4.2657521169804885e-11,1.0291509979441321e-11,4.648338571220516e-12,2.214019013838546,2.940395948582909e-11,8.08509035354998e-12,7.1324531722890704e-12,1.1335637484396093,1.6015553948113056e-11,7.262696565121073e-12,4.036206628967218e-12,1.7993867095400533,1.8345474749269464e-11,8.057797728759093e-12,4.823730287027018e-12,1.6704494756744184,3.610126822914442e-11,1.1410330849269534e-11,4.739748919390632e-12,2.407370315036964,2.8504755516432182e-11,9.0214850952282e-12,5.07609551577889e-12,1.7772488849323629
3 (1).edf,85,95,1,3.815045515774941e-11,1.1174488148976826e-11,4.244415476020476e-12,2.632750778548645,2.5479856925254855e-11,9.734297524890499e-12,6.021896970000822e-12,1.6164835721008972,1.711437538006293e-11,8.281449660012966e-12,4.0538429484321705e-12,2.0428639602863323,1.5072254784823555e-11,8.679338733497415e-12,4.268471406343614e-12,2.0333599331598107,4.0679818904039734e-11,1.2907226523246668e-11,4.940724705305386e-12,2.612415646106895,2.7299352230386092e-11,1.0155360118124875e-11,4.7058703012204935e-12,2.1580195517694203
3 (1).edf,90,100,1,4.611221621130545e-11,1.3119505166254077e-11,4.535756744310452e-12,2.8924622517975376,3.850144846088903e-11,3.4436017989423444e-11,6.3970556225052945e-12,5.383104356365934,1.769767802123697e-11,9.379663013513918e-12,4.050815723666952e-12,2.315499803832866,1.2791433818345018e-11,7.628505679565466e-12,5.11539107039057e-12,1.4912849427527766,4.6081026586225913e-11,1.3193821001782032e-11,5.394299651313165e-12,2.445882107897025,3.223676061960048e-11,1.555150257010779e-11,5.098663762437286e-12,3.050113381603691
3 (1).edf,95,105,1,8.353211300559734e-11,1.942291022829687e-11,4.07892327900748e-12,4.761773855433492,4.301357258851791e-11,2.4301153672153614e-11,5.833818997903091e-12,4.165565246520063,2.182398582688494e-11,8.477566991712481e-12,3.5300962192951937e-12,2.4015115920565706,2.2071169420223604e-11,1.0353127520998603e-11,4.535557307081624e-12,2.282658297544532,8.284564329832132e-11,1.8924353565579328e-11,4.460305600864495e-12,4.242837881312755,5.065729682790903e-11,1.629582239574818e-11,4.487740280830377e-12,3.6311866052847708
